source_file,folder,snapshot,step,atomization_energy
6_0109_n1.xyz,01_6_0109_n1,80,800,-375.4789327499966
6_0109_n1.xyz,01_6_0109_n1,81,810,-375.5453389999966
6_0109_n1.xyz,01_6_0109_n1,82,820,-375.7328389999966
6_0109_n1.xyz,01_6_0109_n1,83,830,-375.0179952499966
6_0109_n1.xyz,01_6_0109_n1,84,840,-375.2562764999966
6_0109_n1.xyz,01_6_0109_n1,85,850,-375.0062764999966
6_0109_n1.xyz,01_6_0109_n1,86,860,-375.2015889999966
6_0109_n1.xyz,01_6_0109_n1,87,870,-375.5609639999966
6_0109_n1.xyz,01_6_0109_n1,88,880,-376.3929952499966
6_0109_n1.xyz,01_6_0109_n1,89,890,-375.3187764999966
6_0109_n1.xyz,01_6_0109_n1,90,900,-375.5883077499966
6_0109_n1.xyz,01_6_0109_n1,91,910,-374.9437764999966
6_0109_n1.xyz,01_6_0109_n1,92,920,-375.5336202499966
6_0109_n1.xyz,01_6_0109_n1,93,930,-375.1781514999966
6_0109_n1.xyz,01_6_0109_n1,94,940,-376.0140889999966
6_0109_n1.xyz,01_6_0109_n1,95,950,-375.1664327499966
6_0109_n1.xyz,01_6_0109_n1,96,960,-375.2289327499966
6_0109_n1.xyz,01_6_0109_n1,97,970,-375.2601827499966
6_0109_n1.xyz,01_6_0109_n1,98,980,-375.7523702499966
6_0109_n1.xyz,01_6_0109_n1,99,990,-375.4047139999966
6_0109_n1.xyz,01_6_0109_n1,100,1000,-376.0375264999966
6_0109_n1.xyz,01_6_0109_n1,101,1010,-375.3969014999966
6_0109_n1.xyz,01_6_0109_n1,102,1020,-375.2719014999966
6_0109_n1.xyz,01_6_0109_n1,103,1030,-375.2758077499966
6_0109_n1.xyz,01_6_0109_n1,104,1040,-375.3929952499966
6_0109_n1.xyz,01_6_0109_n1,105,1050,-374.9672139999966
6_0109_n1.xyz,01_6_0109_n1,106,1060,-374.9086202499966
6_0109_n1.xyz,01_6_0109_n1,107,1070,-374.5726827499966
6_0109_n1.xyz,01_6_0109_n1,108,1080,-374.9008077499966
6_0109_n1.xyz,01_6_0109_n1,109,1090,-375.0258077499966
6_0109_n1.xyz,01_6_0109_n1,110,1100,-375.2953389999966
6_0109_n1.xyz,01_6_0109_n1,111,1110,-375.6273702499966
6_0109_n1.xyz,01_6_0109_n1,112,1120,-375.6039327499966
6_0109_n1.xyz,01_6_0109_n1,113,1130,-375.8344014999966
6_0109_n1.xyz,01_6_0109_n1,114,1140,-375.1586202499966
6_0109_n1.xyz,01_6_0109_n1,115,1150,-374.9945577499966
6_0109_n1.xyz,01_6_0109_n1,116,1160,-374.9672139999966
6_0109_n1.xyz,01_6_0109_n1,117,1170,-375.3109639999966
6_0109_n1.xyz,01_6_0109_n1,118,1180,-375.4242452499966
6_0109_n1.xyz,01_6_0109_n1,119,1190,-374.9125264999966
6_0109_n1.xyz,01_6_0109_n1,120,1200,-374.7992452499966
6_0109_n1.xyz,01_6_0109_n1,121,1210,-374.9906514999966
6_0109_n1.xyz,01_6_0109_n1,122,1220,-375.0844014999966
6_0109_n1.xyz,01_6_0109_n1,123,1230,-375.5219014999966
6_0109_n1.xyz,01_6_0109_n1,124,1240,-375.6429952499966
6_0109_n1.xyz,01_6_0109_n1,125,1250,-375.5648702499966
6_0109_n1.xyz,01_6_0109_n1,126,1260,-374.7523702499966
6_0109_n1.xyz,01_6_0109_n1,127,1270,-375.3422139999966
6_0109_n1.xyz,01_6_0109_n1,128,1280,-375.2953389999966
